Query	invertebrates-Sbjct	E-value	non_invertebrates-Sbjct	E-value	
DdB|DdB_08000	XP_054163235.1	9.84e-81	WP_014480377.1	0.0
DdB|DdB_08012	XP_065834622.1	1.43e-17	WP_240304211.1	0.0
DdB|DdB_08015	XP_065826908.1	8.74e-07	WP_089172603.1	6.96e-126
DdB|DdB_08017	XP_029639386.1	1.56e-07	WP_173614201.1	1.81e-74
DdB|DdB_08032	XP_028419283.1	2.84e-07	WP_029318105.1	0.0
DdB|DdB_08034	XP_060071104.1	4.91e-74	WP_029318099.1	0.0
DdB|DdB_08035	XP_023226480.1	1.39e-06	WP_205589318.1	4.99e-126
DdB|DdB_08036	XP_028406398.1	1.61e-07	WP_009967785.1	3.48e-93
DdB|DdB_08038	XP_002113505.1	1.76e-26	WP_163138265.1	1.81e-112
DdB|DdB_08039	XP_063902807.1	8.36e-06	WP_063694977.1	1.36e-86
DdB|DdB_08042	XP_021954100.1	4.72e-15	WP_323217224.1	4.33e-102
DdB|DdB_08043	XP_063901435.1	1.99e-15	WP_326225213.1	1.06e-171
DdB|DdB_08044	XP_002110419.1	6.42e-09	WP_014480315.1	8.18e-73
DdB|DdB_08046	XP_002114190.1	1.86e-23	WP_014480313.1	0.0
DdB|DdB_08047	XP_020911015.1	1.42e-09	WP_217000884.1	3.16e-125
DdB|DdB_08048	XP_052792756.1	3.67e-18	WP_212060334.1	7.34e-130
DdB|DdB_08061	XP_022228001.1	3.98e-13	WP_268449477.1	2.78e-35
DdB|DdB_08062	XP_022106939.1	7.26e-68	WP_268310028.1	1.17e-105
DdB|DdB_08075	XP_060084659.1	1.08e-78	WP_110109423.1	0.0
DdB|DdB_08076	XP_062591361.1	4.92e-18	WP_342006568.1	1.68e-96
DdB|DdB_08090	XP_004207083.2	6.97e-44	WP_131227635.1	0.0
DdB|DdB_08091	XP_011861386.1	4.66e-18	WP_160831725.1	2.61e-123
DdB|DdB_08093	XP_065175660.1	4.2e-43	WP_174227028.1	0.0
DdB|DdB_08097	XP_011862189.1	8.94e-45	WP_080467332.1	0.0
DdB|DdB_08102	XP_060083734.1	4.84e-30	WP_262119315.1	0.0
DdB|DdB_08110	XP_047365568.1	1.02e-21	WP_015714266.1	7.33e-137
DdB|DdB_08111	XP_063926279.1	1.35e-19	WP_340956061.1	0.0
DdB|DdB_08112	XP_022091738.1	2.75e-25	WP_003230132.1	0.0
DdB|DdB_08113	XP_064386453.1	3.5e-07	WP_080529544.1	0.0
DdB|DdB_08114	XP_023320641.1	1.29e-12	WP_342006639.1	0.0
DdB|DdB_08134	XP_038077329.1	1.09e-24	WP_285298778.1	5.55e-156
DdB|DdB_08139	XP_034839873.1	7.18e-30	WP_003226377.1	5.3e-115
DdB|DdB_08140	XP_033106755.1	1.28e-09	WP_009969016.1	0.0
DdB|DdB_08147	XP_067029283.1	7.94e-37	WP_151870178.1	0.0
DdB|DdB_08151	XP_067029284.1	1.31e-37	WP_160245701.1	1.13e-120
DdB|DdB_08153	XP_060085388.1	8.03e-49	WP_029726732.1	0.0
DdB|DdB_08161	XP_005090597.1	3.28e-30	WP_369017038.1	4.78e-73
DdB|DdB_08164	XP_002431072.1	4.85e-41	WP_212058860.1	2.44e-98
DdB|DdB_08165	XP_022708763.1	7.31e-45	WP_024573594.1	5.82e-99
DdB|DdB_08167	XP_049850608.1	1.07e-177	WP_080333419.1	0.0
DdB|DdB_08173	XP_066924670.1	1.12e-11	WP_047182852.1	8.38e-151
DdB|DdB_08175	XP_053584314.1	3.33e-68	WP_326212573.1	0.0
DdB|DdB_08176	XP_043515215.1	7.66e-63	WP_134156369.1	0.0
DdB|DdB_08177	XP_060864638.1	2.93e-87	WP_004398638.1	0.0
DdB|DdB_08178	XP_027841715.1	6.28e-46	WP_326256075.1	0.0
DdB|DdB_08179	XP_013170631.1	3.25e-18	WP_268303304.1	1.85e-58
DdB|DdB_08181	XP_047145444.1	1.35e-06	WP_032722085.1	2.9e-123
DdB|DdB_08182	XP_033108213.1	7.65e-14	WP_038829754.1	1.83e-74
DdB|DdB_08192	XP_065672519.1	1.5e-11	WP_144530174.1	0.0
DdB|DdB_08194	XP_026500677.1	1.28e-102	WP_130571859.1	1.59e-175
DdB|DdB_08201	XP_055376529.1	3.34e-54	WP_122894918.1	0.0
DdB|DdB_08202	XP_055871524.1	1.73e-15	WP_015251760.1	0.0
DdB|DdB_08205	XP_033098973.1	3.25e-12	WP_249850948.1	0.0
DdB|DdB_08211	XP_053992255.1	3.51e-14	WP_038427788.1	0.0
DdB|DdB_08215	XP_044265399.1	1.14e-30	WP_128441694.1	1.01e-177
DdB|DdB_08216	XP_022778800.1	2.57e-29	WP_014480179.1	6.32e-83
DdB|DdB_08218	XP_061168531.1	4.01e-40	WP_014480178.1	0.0
DdB|DdB_08224	XP_023212577.1	8.2e-71	WP_041336326.1	0.0
DdB|DdB_08228	XP_029673967.1	5.31e-16	WP_003230458.1	1.3e-153
DdB|DdB_08240	XP_017474225.1	2.89e-65	WP_340816449.1	0.0
DdB|DdB_08242	XP_027235141.1	6.21e-13	WP_260665363.1	1.48e-40
DdB|DdB_08243	XP_023226477.1	1.85e-18	WP_015714192.1	2.19e-179
DdB|DdB_08244	XP_023226478.1	3.24e-20	WP_268413597.1	2.02e-82
DdB|DdB_08252	XP_061942852.1	4.45e-14	WP_047182822.1	1.28e-102
DdB|DdB_08261	XP_052231792.1	2.56e-15	WP_161476889.1	5.54e-160
DdB|DdB_08263	XP_037959424.1	8.67e-50	WP_172884159.1	1.87e-156
DdB|DdB_08264	XP_008480315.1	5.59e-49	WP_049635640.1	2.84e-131
DdB|DdB_08266	XP_063697505.1	3.23e-10	WP_015714181.1	0.0
DdB|DdB_08268	XP_023226552.1	4.92e-14	WP_130572516.1	4.38e-129
DdB|DdB_08270	XP_060083966.1	4.77e-19	WP_029726762.1	5.54e-115
DdB|DdB_08277	XP_057317033.1	3.93e-64	WP_003225516.1	1.24e-136
DdB|DdB_08283	XP_049848265.1	1.09e-12	WP_268306504.1	5.36e-116
DdB|DdB_08286	XP_063934027.1	5.41e-40	WP_088467253.1	5.78e-168
DdB|DdB_08288	XP_053698028.1	5.87e-17	WP_015714169.1	2.72e-138
DdB|DdB_08294	XP_061942845.1	8.84e-16	WP_268540858.1	1.71e-56
DdB|DdB_08300	XP_055388674.1	5.76e-19	WP_024573475.1	0.0
DdB|DdB_08301	XP_050405236.2	5.19e-33	WP_131227536.1	0.0
DdB|DdB_08319	XP_063932476.1	7.04e-52	WP_070547478.1	0.0
DdB|DdB_08320	XP_063932476.1	5.72e-25	WP_249852761.1	2.31e-166
DdB|DdB_08334	XP_056004768.1	3.37e-20	WP_080529455.1	0.0
DdB|DdB_08337	XP_022802287.1	7.34e-09	WP_038429199.1	0.0
DdB|DdB_08340	XP_023226557.1	1.95e-46	WP_003230763.1	0.0
DdB|DdB_08341	XP_023012411.1	3.22e-06	WP_015251853.1	1.31e-91
DdB|DdB_08351	XP_026683132.1	2.62e-95	WP_213783403.1	1.11e-163
DdB|DdB_08366	XP_063925505.1	4.29e-65	WP_128480798.1	0.0
DdB|DdB_08369	XP_013405818.1	1.67e-11	WP_326248322.1	0.0
DdB|DdB_08373	XP_060085481.1	7.04e-79	WP_003231176.1	9.96e-172
DdB|DdB_08377	XP_020908684.1	2.42e-09	WP_326145684.1	8.08e-124
DdB|DdB_08378	XP_054166337.1	8.3e-07	WP_342006589.1	0.0
DdB|DdB_08393	XP_011406490.1	2.2e-19	WP_131227511.1	0.0
DdB|DdB_08394	XP_055344395.1	2.5e-22	WP_004399265.1	0.0
DdB|DdB_08395	XP_044753523.1	1.79e-08	WP_333560273.1	3.24e-89
DdB|DdB_08399	XP_060085381.1	0.0	WP_015483337.1	0.0
DdB|DdB_08400	XP_044733040.1	6.12e-67	WP_137200818.1	0.0
DdB|DdB_08401	XP_033106850.1	2.57e-32	WP_024572776.1	0.0
DdB|DdB_08402	XP_052719008.1	4.24e-40	WP_014477075.1	0.0
DdB|DdB_08404	XP_018897059.1	1.61e-50	WP_198878679.1	0.0
DdB|DdB_08409	XP_066252009.1	7.03e-09	WP_085187518.1	1.14e-84
DdB|DdB_08414	XP_033634624.1	9.72e-07	WP_326256502.1	1.15e-64
DdB|DdB_08415	XP_055344395.1	6.77e-09	WP_003231267.1	0.0
DdB|DdB_08418	XP_064615700.1	3.94e-19	WP_029318044.1	0.0
DdB|DdB_08419	XP_021959759.1	3.65e-22	WP_029318045.1	0.0
DdB|DdB_08425	XP_026482021.1	3.32e-06	WP_161476920.1	4.54e-147
DdB|DdB_08427	XP_002111205.1	5.05e-40	WP_134157031.1	1.35e-164
DdB|DdB_08430	XP_028390681.1	3.36e-08	WP_131227504.1	0.0
DdB|DdB_08435	XP_042939028.1	1.12e-26	WP_342006592.1	0.0
DdB|DdB_08440	XP_054157583.1	5e-86	WP_032729091.1	0.0
DdB|DdB_08442	XP_033225782.1	3.78e-67	WP_071577874.1	6.56e-136
DdB|DdB_08444	XP_006812919.1	1.06e-28	WP_003231419.1	1.45e-171
DdB|DdB_08446	XP_014680465.1	2.54e-19	WP_173614129.1	0.0
DdB|DdB_08449	XP_062507069.1	2.98e-14	WP_038829981.1	0.0
DdB|DdB_08455	XP_058798466.1	7.87e-25	WP_004399436.1	0.0
DdB|DdB_08460	XP_052236042.1	7.41e-52	WP_192858413.1	0.0
DdB|DdB_08461	XP_059139650.1	2.26e-34	WP_003231456.1	0.0
DdB|DdB_08465	XP_027206472.1	1.3e-30	WP_268539567.1	9.82e-81
DdB|DdB_08493	XP_023333883.1	6.09e-41	WP_085187642.1	1.07e-100
DdB|DdB_08494	XP_039444426.1	2.88e-62	WP_029317870.1	1.21e-124
DdB|DdB_08498	XP_059160452.1	6.38e-79	WP_161476952.1	0.0
DdB|DdB_08505	XP_037050588.1	9.97e-07	WP_123374448.1	0.0
DdB|DdB_08507	XP_033231374.1	6.92e-79	WP_342006607.1	0.0
DdB|DdB_08508	XP_011862180.1	5.31e-27	WP_130572418.1	0.0
DdB|DdB_08512	XP_023226502.1	1.28e-127	WP_029726677.1	0.0
DdB|DdB_08513	XP_053698027.1	1.01e-14	WP_212033855.1	2.95e-73
DdB|DdB_08517	XP_046857260.1	2.64e-172	WP_326234135.1	0.0
DdB|DdB_08533	XP_065281713.1	8.23e-62	WP_046663209.1	0.0
DdB|DdB_08534	XP_030764918.1	6.07e-14	WP_003245820.1	3.78e-101
DdB|DdB_08537	XP_053397656.1	2.77e-08	WP_003245469.1	2.47e-149
DdB|DdB_08538	XP_065178170.1	3.21e-12	WP_326236879.1	7.53e-128
DdB|DdB_08540	XP_041476611.1	1.05e-22	WP_342006613.1	0.0
DdB|DdB_08542	XP_037929381.1	3.71e-67	WP_003245259.1	0.0
DdB|DdB_08549	XP_066910939.1	1.74e-43	WP_069839416.1	3.48e-156
DdB|DdB_08554	XP_042937427.1	1.76e-43	WP_268360825.1	0.0
DdB|DdB_08565	XP_026686701.1	1.73e-132	WP_342006618.1	0.0
DdB|DdB_08567	XP_026686701.1	3.52e-69	WP_341283726.1	0.0
DdB|DdB_08568	XP_026685039.1	4.28e-22	WP_029946501.1	2.19e-122
DdB|DdB_08569	XP_026686701.1	0.0	WP_326227969.1	0.0
DdB|DdB_08570	XP_026686701.1	0.0	WP_342006641.1	0.0
DdB|DdB_08571	XP_026686701.1	3.28e-40	WP_342006641.1	0.0
DdB|DdB_08572	XP_017302768.2	4.36e-81	WP_253280235.1	0.0
DdB|DdB_08576	XP_026687315.1	1.74e-130	WP_032677314.1	0.0
DdB|DdB_08577	XP_026687315.1	2.18e-107	WP_350318188.1	0.0
DdB|DdB_08578	XP_017302768.2	3.48e-168	WP_003245093.1	0.0
DdB|DdB_08579	XP_026685039.1	2.92e-73	WP_253280230.1	3.55e-168
DdB|DdB_08580	XP_026686701.1	0.0	WP_110109392.1	0.0
DdB|DdB_08581	XP_048239891.1	8.01e-75	WP_213379388.1	0.0
DdB|DdB_08582	XP_053990687.1	4.01e-19	WP_326227779.1	0.0
DdB|DdB_08583	XP_017302768.2	1.16e-52	WP_326147568.1	0.0
DdB|DdB_08584	XP_017302770.1	4.26e-76	WP_110109391.1	0.0
DdB|DdB_08585	XP_017302768.2	4.59e-117	WP_080015524.1	0.0
DdB|DdB_08586	XP_026686701.1	1.75e-23	WP_110109391.1	0.0
DdB|DdB_08587	XP_026686701.1	7.34e-101	WP_253280231.1	0.0
DdB|DdB_08588	XP_026686701.1	1.78e-69	WP_342006619.1	0.0
DdB|DdB_08591	XP_053990687.1	8.76e-16	WP_128441641.1	0.0
DdB|DdB_08592	XP_064382927.1	1.33e-15	WP_301280923.1	2.39e-147
DdB|DdB_08593	XP_063678262.1	1.3e-20	WP_338381979.1	0.0
DdB|DdB_08594	XP_047739791.1	3.66e-09	WP_015252061.1	7.56e-135
DdB|DdB_08595	XP_017301663.1	0.0	WP_029317813.1	0.0
DdB|DdB_08601	XP_035712442.1	1.05e-22	WP_342006620.1	0.0
DdB|DdB_08614	XP_023226521.1	7.33e-30	WP_335388294.1	2.4e-136
DdB|DdB_08615	XP_022778803.1	4.84e-48	WP_220555991.1	0.0
DdB|DdB_08621	XP_050406106.1	1.62e-10	WP_003244753.1	5.43e-119
DdB|DdB_08625	XP_060084512.1	4.16e-16	WP_345806344.1	0.0
DdB|DdB_08627	XP_023711686.1	3.34e-07	WP_010886509.1	0.0
DdB|DdB_08633	XP_011860577.1	5.68e-31	WP_003245524.1	0.0
DdB|DdB_08634	XP_027235144.1	3.93e-96	WP_003244674.1	0.0
DdB|DdB_08636	XP_011860580.1	2.11e-20	WP_327809849.1	5.44e-96
DdB|DdB_08638	XP_044573736.1	2.5e-24	WP_003244721.1	0.0
DdB|DdB_08641	XP_045023907.1	2.02e-23	WP_015252082.1	0.0
DdB|DdB_08642	XP_033125534.1	1.09e-11	WP_285298445.1	1e-128
DdB|DdB_08644	XP_023226608.1	0.0	WP_014479801.1	0.0
DdB|DdB_08645	XP_002118970.1	1.58e-79	WP_003231912.1	0.0
DdB|DdB_08647	XP_037930006.1	1.67e-09	WP_268549352.1	0.0
DdB|DdB_08650	XP_020905114.2	1.1e-16	WP_342006626.1	0.0
DdB|DdB_08651	XP_043469908.1	1.1e-11	WP_003245155.1	0.0
DdB|DdB_08660	XP_030750994.1	3.96e-08	WP_080262568.1	1.51e-138
DdB|DdB_08661	XP_027199207.1	9.83e-13	WP_342006627.1	0.0
DdB|DdB_08677	XP_022778311.1	9.06e-06	WP_003245521.1	5.3e-90
DdB|DdB_08679	XP_008477411.1	1.89e-140	WP_052589141.1	0.0
DdB|DdB_08680	XP_011862174.1	2.91e-58	WP_076457719.1	1.17e-112
DdB|DdB_08682	XP_036149564.1	1.28e-11	WP_003244725.1	0.0
DdB|DdB_08689	XP_054715201.1	1.17e-06	WP_338444339.1	7.76e-52
DdB|DdB_08694	XP_060083729.1	4.02e-07	WP_014476792.1	2.7e-50
DdB|DdB_08695	XP_023214277.1	5.64e-126	WP_285298422.1	0.0
DdB|DdB_08706	XP_066251670.1	1.13e-24	WP_340958379.1	4.13e-137
DdB|DdB_08708	XP_060084998.1	6.1e-10	WP_041850839.1	9.33e-145
DdB|DdB_08709	XP_023226613.1	1.98e-66	WP_283934346.1	0.0
DdB|DdB_08710	XP_023226613.1	7.61e-28	WP_276353588.1	1.63e-103
DdB|DdB_08714	XP_023226540.1	2.53e-56	WP_169037506.1	0.0
DdB|DdB_08715	XP_023226539.1	1.62e-10	WP_277709582.1	8.07e-135
DdB|DdB_08717	XP_011860185.1	3.09e-17	WP_124073211.1	0.0
DdB|DdB_08720	XP_065319917.1	1.61e-20	WP_015252114.1	0.0
DdB|DdB_08724	XP_043195975.1	2.35e-06	WP_180960805.1	0.0
DdB|DdB_08725	XP_060084815.1	9.71e-32	WP_049635730.1	4.09e-170
DdB|DdB_08726	XP_060085174.1	1.22e-46	WP_330949543.1	1.78e-105
DdB|DdB_08727	XP_060085174.1	1.56e-21	WP_046381009.1	3.23e-104
DdB|DdB_08728	XP_787652.2	2.86e-10	WP_161476999.1	0.0
DdB|DdB_08729	XP_065841898.1	1.49e-09	WP_161477000.1	9.97e-124
DdB|DdB_08730	XP_015785755.1	2.71e-17	WP_322839610.1	1.19e-112
DdB|DdB_08731	XP_028405372.1	1.05e-19	WP_227057446.1	9.53e-160
DdB|DdB_08732	XP_034839878.1	3.38e-33	WP_116429889.1	3.19e-153
DdB|DdB_08737	XP_037038347.1	6.97e-62	WP_128471774.1	0.0
DdB|DdB_08741	XP_043212988.1	6.17e-50	WP_342006634.1	0.0
DdB|DdB_08742	XP_064396071.1	6.28e-94	WP_342006634.1	0.0
DdB|DdB_08750	XP_029673967.1	1.15e-20	WP_009967190.1	8.79e-173
DdB|DdB_08751	XP_023226480.1	2.12e-10	WP_003221446.1	3.76e-143
DdB|DdB_08770	XP_066251578.1	1.08e-42	WP_043940111.1	0.0
DdB|DdB_08771	XP_011861385.1	5.94e-13	WP_268326152.1	4.78e-110
DdB|DdB_08772	XP_066251578.1	9.65e-24	WP_342006644.1	0.0
DdB|DdB_08778	XP_063722100.1	1.24e-17	WP_342006645.1	0.0
DdB|DdB_08784	XP_060085163.1	4.06e-12	WP_009969777.1	2.18e-134
DdB|DdB_08786	XP_014680244.1	4.27e-13	WP_021479346.1	1.8e-115
DdB|DdB_08799	XP_030387243.1	0.0	WP_225721982.1	0.0
DdB|DdB_08800	XP_012793920.1	2e-39	WP_257737008.1	1.15e-82
DdB|DdB_08804	XP_003117463.2	1.09e-45	WP_017694811.1	2.46e-171
DdB|DdB_08808	XP_026686429.1	0.0	WP_268277894.1	0.0
DdB|DdB_08812	XP_060074769.1	8.63e-25	WP_014479700.1	0.0
DdB|DdB_08813	XP_054275157.1	2.63e-51	WP_342006648.1	0.0
DdB|DdB_08817	XP_060085383.1	1.8e-103	WP_172294565.1	0.0
DdB|DdB_08818	XP_065184645.1	1.23e-66	WP_326234081.1	1.02e-178
DdB|DdB_08819	XP_012276023.1	8.75e-68	WP_338444290.1	0.0
DdB|DdB_08825	XP_023226618.1	1.79e-12	WP_010328461.1	4.01e-126
DdB|DdB_08829	XP_029679759.1	1.71e-101	WP_003245743.1	0.0
DdB|DdB_08836	XP_035205631.1	1.61e-23	WP_003245688.1	2.16e-147
DdB|DdB_08841	XP_030855518.1	4.79e-13	WP_213384296.1	1.71e-116
DdB|DdB_08842	XP_016909171.1	4.13e-59	WP_129137627.1	0.0
DdB|DdB_08844	XP_063904904.1	1.23e-51	WP_029317736.1	0.0
DdB|DdB_08845	XP_031832459.1	5.34e-40	WP_029317735.1	6.54e-157
DdB|DdB_08847	XP_061172608.1	3.25e-08	WP_029727015.1	4.91e-169
DdB|DdB_08854	XP_011862195.1	3.38e-21	WP_003218680.1	3.18e-163
DdB|DdB_08855	XP_022778812.1	1.09e-16	WP_003245242.1	1.2e-103
DdB|DdB_08856	XP_022778812.1	3.87e-15	WP_003232386.1	5.96e-113
DdB|DdB_08858	XP_022778872.1	2.86e-06	WP_003232391.1	0.0
DdB|DdB_08867	XP_060083734.1	2.29e-16	WP_038827518.1	0.0
DdB|DdB_08870	XP_014680465.1	1.34e-14	WP_131227369.1	0.0
DdB|DdB_08883	XP_046375599.2	3.41e-07	WP_003245851.1	2.09e-139
DdB|DdB_08886	XP_037774865.1	1.04e-06	WP_100330356.1	9.38e-60
DdB|DdB_08896	XP_047494462.1	7.94e-20	WP_003244952.1	1.02e-126
DdB|DdB_08897	XP_025198469.1	7.03e-15	WP_049139810.1	1.49e-129
DdB|DdB_08899	XP_061942817.1	1.21e-14	WP_326214010.1	0.0
DdB|DdB_08902	XP_046376771.2	2.09e-43	WP_326147518.1	0.0
DdB|DdB_08903	XP_014233837.1	3.51e-37	WP_230488544.1	1.7e-87
DdB|DdB_08917	XP_031571966.1	3.06e-08	WP_198878730.1	1.53e-115
DdB|DdB_08932	XP_015788985.1	0.0	WP_342006656.1	0.0
DdB|DdB_08937	XP_015782928.1	2.7e-62	WP_014479592.1	0.0
DdB|DdB_08938	XP_021960905.1	2.31e-35	WP_014479591.1	0.0
DdB|DdB_08942	XP_039291975.1	1.55e-06	WP_015252243.1	2.02e-125
DdB|DdB_08951	XP_021959759.1	1.7e-14	WP_340958245.1	4e-118
DdB|DdB_08953	XP_020908428.1	2.55e-10	WP_369596300.1	5.82e-117
DdB|DdB_08959	XP_044764929.1	2.76e-33	WP_134155245.1	2.86e-159
DdB|DdB_08963	XP_052230377.1	1.99e-53	WP_080529229.1	0.0
DdB|DdB_08965	XP_042897079.1	4.13e-25	WP_095010682.1	0.0
DdB|DdB_08976	XP_026733247.1	2.7e-07	WP_342006657.1	0.0
DdB|DdB_08996	XP_046855137.1	1.69e-06	WP_085186221.1	0.0
DdB|DdB_08997	XP_055336623.1	2.05e-24	WP_116315580.1	4.33e-162
DdB|DdB_09001	XP_018024553.1	7.45e-30	WP_141949414.1	0.0
DdB|DdB_09005	XP_002647174.2	8.8e-07	WP_342006660.1	7.84e-65
DdB|DdB_09006	XP_061168771.1	1.53e-66	WP_308153870.1	2.84e-152
DdB|DdB_09007	XP_061168771.1	5.58e-36	WP_024571368.1	5.57e-92
DdB|DdB_09010	XP_037929381.1	5.8e-22	WP_003245721.1	0.0
DdB|DdB_09018	NP_001310090.1	2.99e-19	WP_129134257.1	0.0
DdB|DdB_09022	XP_046403195.1	2.16e-11	WP_080529205.1	0.0
DdB|DdB_09026	XP_021956238.1	2.16e-28	WP_326144962.1	0.0
DdB|DdB_09038	XP_060085292.1	4e-21	WP_268323538.1	0.0
DdB|DdB_09045	XP_045586482.1	3.36e-11	WP_153952125.1	0.0
DdB|DdB_09050	XP_063699229.1	4.85e-06	WP_168748406.1	2.9e-102
DdB|DdB_09069	XP_013303112.2	1.39e-19	WP_195880274.1	1.01e-97
DdB|DdB_09070	XP_020909261.1	2.41e-12	WP_212083236.1	0.0
DdB|DdB_09072	XP_065827712.1	1.2e-52	WP_250629379.1	0.0
DdB|DdB_09090	XP_065063332.1	1.37e-07	WP_014476464.1	4.71e-103
DdB|DdB_09103	XP_026830858.1	2.79e-85	WP_003232896.1	0.0
DdB|DdB_09104	XP_003738639.1	3.36e-10	WP_251186933.1	2.08e-71
DdB|DdB_09106	XP_033325249.1	1.5e-22	WP_046380940.1	0.0
DdB|DdB_09115	XP_053212196.1	5.03e-14	WP_169037425.1	3.22e-177
DdB|DdB_09116	XP_047146570.1	1.07e-09	WP_306290084.1	3.99e-155
DdB|DdB_09124	XP_017797081.1	7.75e-06	WP_319620431.1	5.07e-56
DdB|DdB_09131	XP_020908428.1	4.6e-16	WP_160831744.1	0.0
DdB|DdB_09153	XP_042238423.1	2.05e-06	WP_046380924.1	1.15e-131
DdB|DdB_09158	XP_025104800.1	6.11e-23	WP_213392180.1	0.0
DdB|DdB_09165	XP_025096534.1	1.1e-10	WP_046380921.1	0.0
DdB|DdB_09166	XP_055687110.1	1.96e-12	WP_003233041.1	0.0
DdB|DdB_09171	XP_065841898.1	2.56e-27	WP_119899226.1	1.06e-148
DdB|DdB_09172	XP_060085174.1	8.56e-123	WP_227057365.1	0.0
DdB|DdB_09175	XP_067657021.1	5.45e-10	WP_014479410.1	5.27e-155
DdB|DdB_09185	XP_037030569.1	2.77e-36	WP_160221487.1	0.0
DdB|DdB_09202	XP_047473762.1	3.5e-06	WP_342006670.1	0.0
DdB|DdB_09218	XP_050665323.1	8.33e-12	WP_038428744.1	2.15e-171
DdB|DdB_09221	XP_014680465.1	3.91e-09	WP_371149691.1	2.17e-76
DdB|DdB_09224	XP_033213090.1	1.35e-65	WP_019712349.1	0.0
DdB|DdB_09226	XP_059091228.1	4.61e-56	WP_326147438.1	0.0
DdB|DdB_09228	XP_039754953.1	1.5e-22	WP_198878833.1	0.0
DdB|DdB_09232	XP_055868494.1	1.49e-10	WP_342006671.1	1.56e-153
DdB|DdB_09233	XP_023210731.1	2.05e-25	WP_080529137.1	1.16e-127
DdB|DdB_09240	XP_045605512.1	1.43e-10	WP_367147929.1	0.0
DdB|DdB_09242	XP_054717982.1	4.36e-35	WP_131227277.1	0.0
DdB|DdB_09252	XP_037025655.1	4.17e-15	WP_024571662.1	1.1e-90
DdB|DdB_09264	XP_027235127.1	3.16e-64	WP_041345190.1	0.0
DdB|DdB_09278	XP_053203666.1	6.41e-19	WP_049140667.1	3.07e-150
DdB|DdB_09279	XP_046443337.1	1.05e-44	WP_198878825.1	0.0
DdB|DdB_09282	XP_061168531.1	6.48e-48	WP_133953578.1	0.0
DdB|DdB_09283	XP_004211255.3	5.22e-60	WP_015483020.1	0.0
DdB|DdB_09284	XP_044573736.1	3.66e-14	WP_342006676.1	2.37e-149
DdB|DdB_09292	XP_059049400.1	7.29e-08	WP_231834219.1	1.46e-121
DdB|DdB_09298	XP_025092868.1	7.69e-24	WP_161477120.1	0.0
DdB|DdB_09308	XP_037929852.1	8.04e-27	WP_342006679.1	0.0
DdB|DdB_09309	XP_055344395.1	4.63e-23	WP_024573279.1	0.0
DdB|DdB_09315	XP_059169432.1	9.65e-78	WP_021479678.1	0.0
DdB|DdB_09316	XP_053408206.1	1.92e-150	WP_326256291.1	0.0
DdB|DdB_09324	XP_044749046.1	1.5e-06	WP_131227256.1	2.72e-136
DdB|DdB_09325	XP_055386816.1	6.68e-13	WP_212059670.1	3e-133
DdB|DdB_09336	XP_027235138.1	3.99e-26	WP_024572923.1	0.0
DdB|DdB_09363	XP_011861377.1	8.02e-24	WP_024572676.1	1.74e-54
DdB|DdB_09366	XP_062502323.1	2.31e-105	WP_009966836.1	0.0
DdB|DdB_09383	XP_064640163.1	3.44e-35	WP_342006813.1	8.13e-143
DdB|DdB_09386	XP_040582638.1	8.71e-11	WP_283934168.1	0.0
DdB|DdB_09387	XP_040582638.1	7.52e-06	WP_326350316.1	8.93e-98
DdB|DdB_09400	XP_022306807.1	6.54e-52	WP_181218600.1	0.0
DdB|DdB_09401	XP_002115211.1	2.01e-79	WP_029726857.1	0.0
DdB|DdB_09405	XP_037773148.1	1.57e-13	WP_014476180.1	0.0
DdB|DdB_09413	XP_060085383.1	1.19e-78	WP_326214638.1	0.0
DdB|DdB_09415	XP_011497785.1	4.29e-72	WP_029726866.1	0.0
DdB|DdB_09419	XP_049848249.1	4.25e-24	WP_251218315.1	8.94e-81
DdB|DdB_09420	XP_022706180.1	3.69e-34	WP_121591526.1	0.0
DdB|DdB_09423	XP_021946650.1	7.41e-20	WP_014479173.1	0.0
DdB|DdB_09428	XP_030756916.1	4.57e-06	WP_003233661.1	0.0
DdB|DdB_09431	XP_050310959.1	2.34e-23	WP_258996549.1	1.97e-98
DdB|DdB_09435	XP_060553663.1	3.23e-75	WP_192858308.1	0.0
DdB|DdB_09437	XP_067005278.1	0.0	WP_032730624.1	0.0
DdB|DdB_09438	XP_031776082.1	7.87e-28	WP_032722999.1	0.0
DdB|DdB_09442	XP_011862180.1	1.21e-14	WP_119899127.1	0.0
DdB|DdB_09450	XP_013396821.1	2.05e-102	WP_017697495.1	0.0
DdB|DdB_09451	XP_002631710.2	8.61e-09	WP_009966790.1	0.0
DdB|DdB_09457	XP_002118938.1	1.03e-43	WP_014663179.1	0.0
DdB|DdB_09462	XP_040582638.1	9.56e-06	WP_033883245.1	0.0
DdB|DdB_09463	XP_048586242.1	5.16e-25	WP_144530418.1	0.0
DdB|DdB_09466	XP_057302072.1	1.87e-43	WP_003233750.1	0.0
DdB|DdB_09469	XP_033123384.1	2.78e-06	WP_003233759.1	0.0
DdB|DdB_09473	XP_014680465.1	3.98e-12	WP_373861961.1	8.82e-102
DdB|DdB_09474	XP_062602225.1	1.06e-94	WP_019712579.1	0.0
DdB|DdB_09476	XP_053646510.1	2.87e-16	WP_019712580.1	3.14e-173
